Feature.ID	p.Value	rab.all	rab.win.0	rab.win.1	diff.btw	diff.win	effect	overlap
1CMET2-PWY	9.098792600342115e-7	3.417679519483567	4.048695021003746	3.2509421457420196	-0.7080826780703235	0.6533592766651308	-0.9867757151969028	0.12337532783577278
ANAEROFRUCAT-PWY	0.002490464840574617	3.203224395923591	3.3664235840822183	3.124511042298296	-0.21642073887650914	0.26763748463682013	-0.7642881269677491	0.21540000140332935
ANAGLYCOLYSIS-PWY	1.450751516542348e-5	3.712764458938382	4.156014475835475	3.5847959422522906	-0.545260532895532	0.5949227303139653	-0.8188221240631753	0.1868000017181703
ARG+POLYAMINE-SYN	0.03233134853393935	2.2014899042754967	2.3330128191995048	2.145820245047082	-0.2102598967268028	0.2770094653666879	-0.7195284996632918	0.2288000012808122
ARGDEG-PWY	6.652309163070332e-6	-2.3339612928441795	-1.309179365401814	-3.3547513402715543	-1.7752813772901348	1.360436843856716	-1.2417666949474353	0.08080000470347179
ARGSYN-PWY	7.341237344337658e-6	3.5061200780274464	3.9257080661438066	3.351537094770738	-0.5610291450807199	0.5628555960922994	-0.9202738001136304	0.1536000022203925
ARGSYNBSUB-PWY	3.763564597329806e-5	3.609315493964289	4.032389704204035	3.4649136016104967	-0.537492470158353	0.5890146464055226	-0.8388433041373059	0.18656268918297644
ARO-PWY	3.0508375848719643e-5	3.6163025511356337	4.049750579525531	3.480639912382435	-0.5301986443515192	0.5425894091547767	-0.8684345385315664	0.17440000188446006
AST-PWY	7.226181036525808e-14	1.9806780324598279	3.285523373975015	0.901286056727761	-1.9293419958654359	1.5680389395822867	-1.3438928227979954	0.06818636838873503
BIOTIN-BIOSYNTHESIS-PWY	3.0037139991779787e-9	3.1312493815143734	3.9286736656628416	2.8518738334268896	-1.0346595494167237	0.786489055265557	-1.2167460373256433	0.050200007861439036
BRANCHED-CHAIN-AA-SYN-PWY	5.477045904420671e-5	4.159567587655485	4.588038057050397	4.037118260614545	-0.5039761524117101	0.5887959539136793	-0.8101347218702095	0.19320000164021628
CALVIN-PWY	0.0060396210344888165	3.5911532628333385	3.790232695451204	3.4810197738333932	-0.2827766223660788	0.34221588850661044	-0.7457871901291084	0.23495301062640417
COA-PWY	1.647011446241731e-4	3.52907406929499	3.870699299000863	3.384606655566177	-0.46008290401974294	0.5271036512241518	-0.80512748898397	0.19500000161915396
COBALSYN-PWY	1.1342035658665335e-8	2.66623829784173	3.580178966791982	2.2849795868140124	-1.108178157872651	0.8950687471397991	-1.0539020451393468	0.11857628778302712
CODH-PWY	0.002519950556324291	-0.701539748275426	-1.2828251321998758	-0.4464509065880984	0.7247432525884223	0.67904015235111	0.8673430520228635	0.20700000148745182
COMPLETE-ARO-PWY	3.1017831802997186e-5	3.698476427253388	4.121176421001428	3.56058585659343	-0.548988400084947	0.5451187936447606	-0.8935056861250894	0.1708000019370079
CRNFORCAT-PWY	0.008119064694289605	-6.164941429357339	-7.922707491766899	-4.844482115188668	3.3780345581222013	4.653511187521078	0.7357981667258975	0.172600001910474
DAPLYSINESYN-PWY	4.207761289908084e-6	3.461856239500288	3.950123764070341	3.338681625802718	-0.5698663660636951	0.5943115424341121	-0.8879499773104784	0.15696860843809063
DENITRIFICATION-PWY	2.1703976549679648e-11	1.7488818842017384	2.765374695206795	0.74044723500693	-1.7589442109308218	1.6261303469572876	-1.1715190274715614	0.11177764772833931
DHGLUCONATE-PYR-CAT-PWY	2.1469797074841634e-12	1.7418475834783216	2.4729930852089383	0.5283113633885517	-1.6800833572618883	1.4306563105819023	-1.2442946597199311	0.10000000370370311
DTDPRHAMSYN-PWY	5.580660104228801e-4	3.621412748583933	4.055489030080484	3.4923420858260457	-0.48561598470380973	0.5300301600236059	-0.7979481757761904	0.20715856977155467
ENTBACSYN-PWY	4.090962365135834e-7	0.6341911697969769	0.9411977202691526	0.4456126194302934	-0.5437243654030084	0.40871302432188994	-1.3024177575558893	0.057988409059865485
FAO-PWY	1.0456577042644376e-5	3.707727362358679	4.122845022863861	3.6136235088871915	-0.5165919866335806	0.573293812856658	-0.8376345939196834	0.18036392901562512
FASYN-ELONG-PWY	0.00739123741137907	3.9498013194127495	4.399466603603802	3.880201185297092	-0.4748748700303014	0.6350871865465715	-0.6049290896931602	0.2957408526465602
FASYN-INITIAL-PWY	1.9580394871074171e-7	3.3594476892837384	4.163028964946915	3.1854858046488856	-0.8866650440823656	0.7188483401401928	-1.1473130901557753	0.04260000934569317
FERMENTATION-PWY	3.214231283394569e-5	2.8749795091964607	3.064091442501131	2.775825578089534	-0.2984598974023296	0.2843491482264877	-0.9839074706781357	0.1269746078820911
FOLSYN-PWY	3.3431669841350955e-7	3.399296713295298	3.97448196306738	3.2238256251308526	-0.7111995609545372	0.6287029887599807	-0.997618325295365	0.11900000302845268
GALACT-GLUCUROCAT-PWY	0.044151474968397234	0.9209172245618058	0.764314681763623	1.0312941723085176	0.28517800674532	0.49355869289221843	0.5668077618681466	0.23680000121362524
GALACTUROCAT-PWY	0.001370280484392389	1.7705065567200977	1.6096811889606828	1.9182540480191088	0.3260758474903458	0.39177453125511796	0.7947062634135624	0.18616276917202743
GLCMANNANAUT-PWY	1.5327374015959377e-4	-0.7044813953412881	-0.950143726527604	-0.5358140561021516	0.39979863585358455	0.41258988126703233	0.9186937410812266	0.16736652868299137
GLUCONEO-PWY	1.6167394364049722e-6	3.5248393903926423	3.9947529922485634	3.365027647304255	-0.6033115865759613	0.6683113447150388	-0.9151643053088618	0.1383723280615008
