Feature.ID	p.Value	rab.all	rab.win.0	rab.win.1	diff.btw	diff.win	effect	overlap
1CMET2-PWY	2.2727733211491468e-4	3.5587010869664164	4.085345426357088	3.477771620375892	-0.5559783103030189	0.6517381681500565	-0.7227208732542802	0.24075185081150194
ANAEROFRUCAT-PWY	0.029398366902634084	3.264668357322662	3.4009253067987966	3.2081348899806588	-0.173288170397361	0.25552713975648533	-0.635413515942439	0.25740000105766
ANAGLYCOLYSIS-PWY	0.002834676469066271	3.8749855030654285	4.1892984065020205	3.8051935000206476	-0.39420579731640837	0.602087161489087	-0.5582226309988377	0.3035392929156932
ARG+POLYAMINE-SYN	0.014514101283288077	2.2255145790968527	2.3687787306295265	2.1455811031201595	-0.2267989586378638	0.27521236939434335	-0.7727154752006626	0.20255948963626977
ARGDEG-PWY	5.683706762766768e-6	-2.189604034901656	-1.261525151540413	-2.9978737123265056	-1.6031808279381279	1.4399865118114015	-1.067895928594065	0.12037592780153344
ARGSYN-PWY	0.0018815467269582126	3.651859331995678	3.9519954305510283	3.5734177085603873	-0.38786762756273685	0.5819063371736966	-0.5990276440022871	0.26934613175014543
ARGSYNBSUB-PWY	0.002919777291077213	3.757864264883932	4.047110058670695	3.6828418880297056	-0.38744706123702155	0.5935988174296627	-0.5947077476280942	0.2843431322565221
ARO-PWY	0.001192425330433115	3.7370105695163542	4.088842004226562	3.6615480681343584	-0.41235874979744214	0.5540643753686645	-0.6449809207367758	0.254200001080445
ASPASN-PWY	0.002907699711543956	1.2370019647177433	1.5848556869029577	1.1296801200283406	-0.42789925642839677	0.44682312012309566	-0.8295765540269884	0.1685662887125478
AST-PWY	1.2920130765519601e-5	2.2937143507061233	3.324291102020198	2.0867086542413817	-1.1050859747381505	1.196296813218801	-0.7823357063468066	0.24335133089511699
BIOTIN-BIOSYNTHESIS-PWY	4.3114463250742583e-05	3.312227061218902	3.9657488679653725	3.2222585918366202	-0.6809678194379432	0.7637390103180168	-0.7746746323154836	0.2229554102502975
BRANCHED-CHAIN-AA-SYN-PWY	0.0025278522835441622	4.286723117233827	4.606645871932632	4.22676406123912	-0.38567443596885953	0.5977723338977028	-0.5685176179146272	0.2944000008247939
CALVIN-PWY	0.03092378921860661	3.663986355560655	3.825350277830488	3.5785186028493223	-0.22999867613356617	0.35681273588199147	-0.58997980365373	0.2759448119719201
COA-PWY	0.003026609280574823	3.628102096783887	3.9060913263962944	3.556460373780159	-0.3669958777068416	0.5387863352939095	-0.5966703899489854	0.2712000009646654
COBALSYN-PWY	5.3335076341571e-4	2.9002666938348565	3.6133595210909224	2.8255425780471493	-0.7187439572702421	0.8881566260537355	-0.6469064026444854	0.2969406126878513
CODH-PWY	0.01697971139116273	-0.8474764064427704	-1.2475108249965343	-0.4466072022873364	0.6216183121126573	1.005323294076753	0.6538840346547473	0.23980000118945785
COMPLETE-ARO-PWY	0.0011940704658701738	3.81805785203163	4.161292628512822	3.7405555679933378	-0.41181679282724337	0.5537792818777625	-0.6533258471280488	0.257748451364724
DAPLYSINESYN-PWY	7.660272176248817e-4	3.6051756614571806	4.001432869800898	3.545224002398448	-0.4461156123876293	0.5986872454528291	-0.6403196719519982	0.28060000090572706
DENITRIFICATION-PWY	3.560025150285655e-4	2.056269762520058	2.7930873752887724	1.9199933781171925	-0.9792160202405586	1.3479539591782448	-0.6440705469922023	0.3024000007805799
DENOVOPURINE2-PWY	0.004227684390256666	2.356176719641086	2.5908719631572144	2.2810801885122567	-0.23915877849805245	0.3202100899037079	-0.7266400660743224	0.22215557022558102
DHGLUCONATE-PYR-CAT-PWY	0.0017861309016203334	2.0929897414544367	2.492870260210651	1.937456362631802	-0.6455896185078993	0.9541582183417612	-0.6050901608764687	0.3107378531656026
DTDPRHAMSYN-PWY	0.0055821317165231105	3.7162552236130204	4.090363991559965	3.6323696468486073	-0.3991993833834493	0.5386024645930458	-0.6373585254637246	0.2578000010548459
ENTBACSYN-PWY	3.0554795743987658e-6	0.7404816758014583	0.9749071656731871	0.44524253979478523	-0.5081716162374974	0.43050928550152	-1.117459470301929	0.10240000360480918
FAO-PWY	0.0022205066860508074	3.8333971415668677	4.164834814072606	3.7867035282350057	-0.32110106866496224	0.5865174347458573	-0.546415629037036	0.3114000007329507
FASYN-ELONG-PWY	9.722923414312167e-4	3.9294778689692613	4.444627887913231	3.8575111564828544	-0.5293891115465774	0.628272808423969	-0.6783941324033158	0.25760000105625175
FASYN-INITIAL-PWY	5.9773563537000794e-5	3.5036216763944896	4.199841700941413	3.424477274537473	-0.7142902612621826	0.7194039582994516	-0.8191268468390775	0.19120000166405246
FERMENTATION-PWY	7.033972819268202e-5	2.9409902641112566	3.1002401764466665	2.8335397254394508	-0.29013540890830924	0.3189206610892814	-0.8624524050199649	0.16580000201358733
FOLSYN-PWY	2.9382192583069893e-4	3.5463651527687983	4.0102281034046285	3.4705541926125725	-0.47181157765392046	0.6400907877008528	-0.6666910216243471	0.25394921123978736
GLCMANNANAUT-PWY	0.015176307695830015	-0.67228307928763	-0.914499985078856	-0.5892523454658862	0.324620480301018	0.3801162596307952	0.7873062948838376	0.22455509029987133
GLUCONEO-PWY	6.069736236976139e-4	3.673758618100847	4.029234404601856	3.609137933003309	-0.45959116048272763	0.6740785029317413	-0.6243572646008289	0.2713457318171697
GLUCOSE1PMETAB-PWY	2.3419838040464007e-5	2.790887741041481	3.586206291651571	2.7039826153411006	-0.8315594746202812	0.8974214271855145	-0.7604459568189064	0.2557488512988818
