Feature.ID	p.Value	rab.all	rab.win.Rh	rab.win.Bs	diff.btw	diff.win	effect	overlap
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.009318456467437555	-0.4216605049705038	-0.24212023254588022	-0.8423128263665873	-0.5893146681672379	0.5428832302957982	-0.7793508482419355	0.20020000156028814
ANAEROFRUCAT-PWY	0.02634956530265055	3.2594434361040903	3.182056472718898	3.341630086169539	0.1575490095648835	0.23735463727677342	0.5890393161299371	0.22975405046223388
ANAGLYCOLYSIS-PWY	0.0021926320818584015	3.8035008074210297	3.6303756260293043	3.934193939519097	0.3244899232913965	0.4142676343384246	0.5731358097837753	0.17420000188732537
ARGDEG-PWY	0.012271078347434537	-2.6167608661006767	-2.1058343725111204	-2.987861039204466	-0.8975947127452581	1.7247531847906954	-0.5002064971518817	0.28114377214780684
ARGSYN-PWY	0.006186612544582172	3.5922319598293595	3.424240312531873	3.702329733008104	0.2984743317794316	0.48305613902937417	0.49837844849678026	0.2008000015536785
ARGSYNBSUB-PWY	0.007934545616573632	3.692623273786139	3.518774796539802	3.8094361694147785	0.2976907896043315	0.47295119726238255	0.5123248114101321	0.19420000162846981
ARO-PWY	0.031054355504258155	3.691776462161395	3.536650143681386	3.788533976324841	0.257198942802241	0.4708758596576659	0.4591614804044015	0.20460000151264868
AST-PWY	1.82306277320689e-5	2.0805583452644676	1.81924983257292	2.2988487580204	0.682353346450606	1.6709751301914233	0.4497934208135488	0.2612000010312242
BRANCHED-CHAIN-AA-SYN-PWY	0.02645349585524166	4.242507921470784	4.0950541670684455	4.347182230684098	0.26644895694989534	0.4259386518966308	0.47319117590934034	0.19440000162613408
CALVIN-PWY	0.005835009023510517	3.6376794163389325	3.503383501644385	3.7330133933720533	0.21382559621327157	0.31299886988411574	0.6200112265236815	0.2183563301088344
CATECHOL-ORTHO-CLEAVAGE-PWY	1.6973291877147334e-7	-0.42419869859588744	-0.1916612683513934	-0.9442197119615612	-0.7216128024360406	0.5704536318555311	-1.0727922447993237	0.14897020826526233
CENTFERM-PWY	0.009693380741301064	-0.7758271954852356	-1.0310141846938494	-0.5387148086260822	0.465427467139512	0.6302939731460278	0.6860224364339846	0.22700000129651043
COA-PWY	0.018031289101050674	3.5962427940607307	3.4349283575636225	3.6880283436288273	0.26358684388214604	0.4312320152287423	0.5013267747529082	0.20860000147095034
COBALSYN-PWY	0.027942138405549852	2.7752993823441248	2.5633345427402485	2.9348595412825693	0.39194420405636965	0.7759439096780629	0.3969427797638002	0.25060000110667585
CODH-PWY	1.4487895708749902e-4	-0.6142130574771478	-0.8395366779980611	-0.16301327341886473	0.7213905026991263	0.647310609652215	0.8812298564174754	0.18820000170069423
COMPLETE-ARO-PWY	0.028351217957686827	3.7727298665252365	3.6156758713178028	3.870204165286476	0.2619754436470245	0.4825052301776265	0.46413774056759094	0.20460000151264868
DENITRIFICATION-PWY	3.047171317527273e-6	1.8742981051421896	1.3820033443437643	2.105761503376014	0.8300454953933007	1.5492334499865805	0.5613802363665721	0.2214000013468149
DHGLUCONATE-PYR-CAT-PWY	9.279345793724201e-9	1.8861807108467357	1.498495319627188	2.1370425890602407	0.7625751142222672	1.421961727552496	0.6046627132588438	0.2201559701639985
ECASYN-PWY	0.0399760173179118	-4.428013513599158	-3.5943772638142457	-4.928455399015404	-1.3592394825521605	1.8001596272722393	-0.683775995049452	0.19320000164021628
ENTBACSYN-PWY	0.018215682235562452	0.6374334191945321	0.7292717959932657	0.490161369943797	-0.2424420854131455	0.5207678045354189	-0.4477791534204226	0.2858000008744927
FERMENTATION-PWY	0.011143858905540115	2.9184821130478396	2.8213805791056963	3.002347689545296	0.18813792908477023	0.2982325052027557	0.561500955016119	0.23620000121852372
FOLSYN-PWY	0.01737142712894079	3.4811872461083335	3.3037136792314894	3.589477537614061	0.30803366976954605	0.6251941949556055	0.4435908974823135	0.2100000014567006
FUCCAT-PWY	8.43016424925593e-4	-2.814406648734521	-2.267541170509019	-3.114166382424097	-0.8542244414112323	1.0955383974734865	-0.7100950933273384	0.20155968960713103
GALACT-GLUCUROCAT-PWY	2.7143415067727327e-5	0.9799355329101198	1.0958900000349	0.7333914794846974	-0.35652626210615335	0.4462189117742881	-0.7327165452747624	0.2008000015536785
GALACTARDEG-PWY	5.722611421064376e-7	-0.07823272823316163	0.0873238359504187	-0.3434021697894245	-0.41574813235370023	0.42749904770711655	-0.8900193533031138	0.13917216807574642
GALACTUROCAT-PWY	0.010993736994984729	1.840582038570723	1.9272897215241045	1.6746386965044744	-0.23863269229648054	0.37378020541436285	-0.5652348618121333	0.2516000010993247
GLUCARDEG-PWY	9.146524094156974e-6	0.07602660658967775	0.21495442869831027	-0.1620008172344285	-0.36996656694449737	0.45511545394986186	-0.7409621918012768	0.17536492888457253
GLUCARGALACTSUPER-PWY	5.542484784943724e-7	-0.07741107795537783	0.08767765097407221	-0.34373426941272633	-0.4061370340789141	0.4287369622859414	-0.8657465823321662	0.1466000023539577
GLUCONEO-PWY	0.03376928730005888	3.615162075382066	3.449151269361552	3.7192955770869447	0.28710333293629464	0.47816962768416893	0.43653559001028625	0.20055988957809257
GLUCOSE1PMETAB-PWY	7.522197697123382e-5	2.672484151367563	2.4612480240567676	2.820269889558582	0.5048388113824425	1.2299906276471182	0.44047999316952746	0.2588000010478434
GLUTORN-PWY	0.03696094757445091	3.6794858161033854	3.515433908397364	3.8028419890688343	0.2951737056469539	0.5800172296616855	0.45487364611623116	0.20495900970660172
