"Q"	"FDis"	"D_q"	"MD_q"	"FD_q"
"CAFBS.18.1"	73.9174469422126	54.1694056342044	126.469103509546	9348.27324849609	1182267.73709957
"CAFBS.18.2"	76.2467756994058	54.8109444811641	184.605755225684	14075.5936115121	2598435.58890301
"CAFBS.18.3"	76.4041499344018	55.1534746787677	158.929316451597	12142.8593231398	1929856.33199451
"CAFBS.59.1"	75.8541126666957	55.0923699072552	153.326269958154	11630.42815617	1783250.16720183
"CAFBS.59.2"	76.5307680138755	56.0127486747545	118.160744821394	9042.93255027282	1068519.64550986
"CAFBS.59.3"	74.7256522463849	55.5554846722949	89.9488786265727	6721.48862420156	604590.364448195
"CAFRh.18.1"	81.2410210088023	56.8225562302477	241.333397924398	19606.1716509016	4731624.0248011
"CAFRh.18.2"	80.8457632745995	56.9923746313694	195.294749808553	15788.7531117944	3083460.58875691
"CAFRh.18.3"	82.8048185761366	59.0691455164778	206.75793164784	17120.5530192767	3539810.13093284
"CAFRh.59.1"	86.7169228282578	60.3908629918407	282.004378711937	24454.5519459938	6896290.72820877
"CAFRh.59.2"	83.0963045711793	57.7161713888706	277.228902067754	23036.6972821557	6386438.29479924
"CAFRh.59.3"	87.5479964191187	60.9992824146407	216.939434737971	18992.6128556055	4120246.69709217
"CAGBS.18.1"	73.8689460367983	53.0559240914998	246.777586336323	18229.2002081692	4498558.02821359
"CAGBS.18.2"	73.4607370913405	52.5726369984112	234.162979852597	17201.7850994765	4028021.25767742
"CAGBS.18.3"	73.8405202493364	51.6139775037619	299.053242607121	22082.2470163608	6603767.57429412
"CAGBS.59.1"	75.5757279723854	52.4446242837408	300.267546098267	22692.9383828584	6813952.92198006
"CAGBS.59.2"	73.864708098786	51.6538352336947	291.311632473367	21517.6486984261	6268341.36932691
"CAGBS.59.3"	75.1010411588097	52.4217597225374	288.975491537877	21702.3602838734	6271450.23056442
"CAGRh.18.1"	77.2342275795957	52.8112430079807	434.313210444604	33543.8453363034	14568535.1586672
"CAGRh.18.2"	75.8415804760142	52.066675111456	367.969797389457	27907.4110014552	10269084.3718698
"CAGRh.18.3"	79.5750231700801	54.6283524412205	393.66901394408	31326.2209059427	12332162.4946369
"CAGRh.59.1"	94.4986632297588	66.7202754909744	236.094724038657	22310.6358172519	5267423.40640108
"CAGRh.59.2"	77.2873234682279	52.9903618638742	394.965932963414	30525.8598198738	12056674.7032669
"CAGRh.59.3"	79.7116702977466	54.7235452061397	395.562875421649	31530.9775076391	12472484.1277771
"CAVBS.18.1"	74.7036450916901	54.3606132723271	149.275674444197	11151.437004502	1664638.27986902
"CAVBS.18.2"	76.8969524157676	54.2996855417519	248.527344918339	19110.9954162026	4749604.94953537
"CAVBS.18.3"	72.3731458427603	53.1122072665921	139.23687527983	10077.0106813174	1403091.47942811
"CAVBS.59.1"	73.8123603638629	53.1590450558194	186.097783743311	13736.3166765775	2556298.09030736
"CAVBS.59.2"	75.353075829805	54.5155082678211	126.71557592402	9548.40840142011	1209932.0697437
"CAVBS.59.3"	75.8426335310975	54.9362976708642	152.757009522842	11585.4938925473	1769765.40087068
"CAVRh.18.1"	85.4023470354054	62.0508850318431	110.927367129746	9473.4575033384	1050865.69846087
"CAVRh.18.2"	86.4684213767518	61.3525517957704	182.100721087197	15745.9618839781	2867351.01328392
"CAVRh.18.3"	108.69302557271	78.6100821354206	106.337793894015	11558.1765510678	1229070.99587809
"CAVRh.59.1"	82.0907732902091	58.06623344623	206.562156063671	16956.8471237596	3502642.90192585
"CAVRh.59.2"	99.8977560285449	79.6218396595386	50.7639916470567	5071.20885259276	257434.803833498
"CAVRh.59.3"	95.1878501588303	67.163737737962	131.513839739526	12518.5196709384	1646358.58977989
"CPFBS.29.1"	76.6712909781632	55.9862627875639	174.767927055166	13399.682588897	2341834.74925874
"CPFBS.29.2"	75.6881076744453	55.6538696841977	150.135939694544	11363.5051694047	1706070.52683237
"CPFBS.29.3"	75.7180794713687	55.4652845766495	132.676311256621	10045.9954796969	1332865.62314687
"CPFBS.51.1"	74.929308022194	56.1416056193298	125.089442916175	9372.86539859074	1172446.51123801
"CPFBS.51.2"	76.8154408106641	56.6787351891327	116.213211539432	8926.9690724244	1037431.74521962
"CPFBS.51.3"	78.4737226740864	57.3697047777932	146.89277501111	11527.2228890488	1693265.75834396
"CPFRh.29.1"	82.0084996602866	58.5006128738861	228.370147953834	18728.2932008916	4276983.08921041
"CPFRh.29.2"	82.4158697938891	58.7887096779919	172.014362751441	14176.7133232016	2438598.30820039
"CPFRh.29.3"	85.7251604453048	60.4970811736484	208.270381409337	17854.0118623202	3718461.86025226
"CPFRh.51.1"	82.7920997819356	59.4040921434475	174.065529315823	14411.2506717111	2508501.9762744
"CPFRh.51.2"	84.0383014217896	59.928808136326	151.485790145083	12730.6084933304	1928506.28663987
"CPFRh.51.3"	82.0253488491589	57.797844520081	205.295274719985	16839.4165259907	3457052.64182751
"CPGBS.29.1"	78.7949560201762	56.8495440903586	182.672594842604	14393.6790767144	2629330.70627512
"CPGBS.29.2"	81.6456571698976	59.3407502350472	137.480740412552	11224.7053991869	1543180.80919298
"CPGBS.29.3"	84.8634505423107	60.8210499399689	159.336393761215	13521.836171545	2154520.61260392
"CPGBS.51.1"	76.989435923422	55.7471056656945	164.061279616154	12630.9853745225	2072255.62335709
"CPGBS.51.2"	73.2763598829073	53.0071554092139	182.464951868082	13370.3674791029	2439623.45853309
"CPGBS.51.3"	76.7173160526288	55.4748892507945	157.311285282032	12068.4995916269	1898511.18218451
"CPGRh.29.1"	84.3958765195439	57.9739096425295	346.867530239831	29274.1892507599	10154265.7251845
"CPGRh.29.2"	87.1574704332554	59.9753074629987	344.017029072107	29983.6540398885	10314887.5835283
"CPGRh.29.3"	85.8557914008045	59.1578534670721	351.434785689915	30172.7116511798	10603740.4528159
"CPGRh.51.1"	76.3297458825216	52.5841305195695	361.210672634669	27571.118852259	9958982.38591488
"CPGRh.51.2"	77.9181396531809	53.6495328965366	281.928598206031	21967.3518872431	6193224.72386906
"CPGRh.51.3"	79.832685049025	54.9322909656279	313.39042671616	25018.7992334108	7840652.16768453
"CPVBS.29.1"	54.4847468553276	43.2509107966541	20.4630110136026	1114.92197497392	22814.6606531988
"CPVBS.29.2"	54.0591113409381	43.0499079026476	20.6811915290438	1118.00683553185	23121.7134964143
"CPVBS.29.3"	52.910144640096	42.1527415539169	19.7240427767807	1043.60195620691	20584.0496261571
"CPVBS.51.1"	64.4184026666401	49.9602682063196	28.6759331370914	1847.2578076668	52971.8413796234
"CPVBS.51.2"	68.4298958120709	52.5607104079946	27.9911126195978	1915.42892022302	53614.9866207974
"CPVBS.51.3"	56.7031648076856	44.8647271291184	20.7772812616348	1178.13760363412	24478.4963556146
"CPVRh.29.1"	68.9679593885346	52.9463400825706	52.1697287993578	3598.03973714497	187708.757296166
"CPVRh.29.2"	59.3025183680542	46.3872897914571	31.1125613465823	1845.05324073291	57404.3321400132
"CPVRh.29.3"	63.374467599031	49.3558085571979	48.6153594503386	3080.97252230073	149782.586628266
"CPVRh.51.1"	67.6634196410773	52.1385090962561	33.0165730259626	2234.01423576598	73759.4941562077
"CPVRh.51.2"	69.6414110709661	53.3476997981557	47.7981182848279	3328.72840389236	159106.953987313
"CPVRh.51.3"	64.6789971864571	50.2634269949861	44.1836882857188	2857.7566503193	126266.229034148
